12:59:00 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  16/60  train 0.22273  val 0.53816  lr 8.96e-04  0.5s
12:59:00 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  17/60  train 0.21195  val 0.54645  lr 8.78e-04  0.4s
12:59:01 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  18/60  train 0.19994  val 0.55512  lr 8.60e-04  0.5s
12:59:01 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  19/60  train 0.18910  val 0.55555  lr 8.40e-04  0.5s
12:59:02 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  20/60  train 0.18033  val 0.53664  lr 8.20e-04  0.4s
12:59:02 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  21/60  train 0.17067  val 0.55664  lr 7.98e-04  0.5s
12:59:03 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  22/60  train 0.16803  val 0.57230  lr 7.76e-04  0.5s
12:59:03 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  23/60  train 0.15866  val 0.57165  lr 7.52e-04  0.5s
12:59:03 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024: 40961 params | train 21732 windows, val 4251 | 85 steps/epoch | matrix 2.3 MB on device
12:59:04 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch   1/60  train 2.12223  val 0.57498  lr 3.33e-04  0.4s  *
12:59:04 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch   2/60  train 0.43743  val 0.50867  lr 6.67e-04  0.5s  *
12:59:05 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch   3/60  train 0.40704  val 0.49294  lr 1.00e-03  0.4s  *
12:59:05 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch   4/60  train 0.38965  val 0.52060  lr 1.00e-03  0.5s
12:59:06 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch   5/60  train 0.37483  val 0.47812  lr 9.99e-04  0.4s  *
12:59:06 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch   6/60  train 0.36230  val 0.49163  lr 9.97e-04  0.4s
12:59:07 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch   7/60  train 0.35342  val 0.50271  lr 9.93e-04  0.5s
12:59:07 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch   8/60  train 0.33932  val 0.50616  lr 9.88e-04  0.5s
12:59:08 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch   9/60  train 0.32142  val 0.50138  lr 9.81e-04  0.5s
12:59:08 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  10/60  train 0.30533  val 0.51344  lr 9.73e-04  0.5s
12:59:09 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  11/60  train 0.28704  val 0.55043  lr 9.64e-04  0.5s
12:59:09 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  12/60  train 0.26683  val 0.58702  lr 9.53e-04  0.5s
12:59:10 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  13/60  train 0.24687  val 0.63401  lr 9.40e-04  0.5s
12:59:10 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  14/60  train 0.23127  val 0.62644  lr 9.27e-04  0.5s
12:59:11 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  15/60  train 0.21189  val 0.62344  lr 9.12e-04  0.5s
12:59:11 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  16/60  train 0.20294  val 0.64692  lr 8.96e-04  0.5s
