16:51:05 | INFO    | 06_train_sequence | device=cuda progress=tqdm max_minutes=10.0
17:19:51 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  11/60  train 0.11815  val 0.04830  lr 1.00e-03  0.5s
17:19:51 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  12/60  train 0.11606  val 0.04848  lr 1.00e-03  0.5s
17:19:52 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  13/60  train 0.11292  val 0.04471  lr 1.00e-03  0.5s
17:19:52 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  14/60  train 0.11359  val 0.04634  lr 1.00e-03  0.5s
17:19:53 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  15/60  train 0.11019  val 0.05127  lr 1.00e-03  0.5s
17:19:53 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  16/60  train 0.10969  val 0.04637  lr 1.00e-03  0.5s
17:19:54 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  17/60  train 0.10889  val 0.04366  lr 1.00e-03  0.5s  *
17:19:54 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  18/60  train 0.10704  val 0.04302  lr 1.00e-03  0.5s  *
17:19:55 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  19/60  train 0.10634  val 0.04593  lr 1.00e-03  0.5s
17:19:55 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  20/60  train 0.10303  val 0.04457  lr 1.00e-03  0.5s
17:19:56 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  21/60  train 0.10218  val 0.04269  lr 1.00e-03  0.5s  *
17:19:56 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  22/60  train 0.10164  val 0.04585  lr 1.00e-03  0.5s
17:19:57 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  23/60  train 0.10050  val 0.04833  lr 1.00e-03  0.5s
17:19:57 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  24/60  train 0.09869  val 0.04359  lr 1.00e-03  0.5s
17:19:58 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  25/60  train 0.09715  val 0.04401  lr 1.00e-03  0.5s
17:19:59 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  26/60  train 0.09450  val 0.04259  lr 1.00e-03  0.5s
17:19:59 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  27/60  train 0.09534  val 0.04318  lr 1.00e-03  0.5s
17:20:00 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  28/60  train 0.09352  val 0.04550  lr 1.00e-03  0.5s
17:20:00 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  29/60  train 0.09129  val 0.04393  lr 1.00e-03  0.5s
17:20:01 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  30/60  train 0.09175  val 0.04374  lr 1.00e-03  0.5s
17:20:01 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  31/60  train 0.09039  val 0.04413  lr 5.00e-04  0.5s
