15:19:08 | INFO    | 16_gap_injection | --force over the full grid: discarding 101 existing cells so a partial run leaves no stale mixture (restart without --force to resume)
15:19:38 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  36/63  train 0.06491  val 0.58181  lr 1.35e-03  0.4s
15:19:38 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  37/63  train 0.06219  val 0.56855  lr 1.27e-03  0.4s
15:19:39 | INFO    | 16_gap_injection |     gru_h64_l2       RMSE  101.57  skill +0.0755  (3 seeds)
15:19:39 | INFO    | 16_gap_injection |     lstm_h64_l1: 20655 windows, 81 steps/epoch -> 63 epochs (~5103 optimizer steps)
15:19:39 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42: resumed from epoch 25 (best val 0.44047)
15:19:39 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42: 21313 params | train 20655 windows, val 4105 | 81 steps/epoch | matrix 2.3 MB on device
15:19:39 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  26/63  train 0.17890  val 0.52947  lr 2.11e-03  0.3s
15:19:39 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  27/63  train 0.16981  val 0.54074  lr 2.04e-03  0.3s
15:19:40 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  28/63  train 0.16565  val 0.53744  lr 1.97e-03  0.3s
15:19:40 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  29/63  train 0.16298  val 0.55627  lr 1.89e-03  0.3s
15:19:40 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  30/63  train 0.15921  val 0.56097  lr 1.82e-03  0.3s
15:19:41 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  31/63  train 0.15451  val 0.56120  lr 1.74e-03  0.3s
15:19:41 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  32/63  train 0.14887  val 0.57253  lr 1.66e-03  0.3s
15:19:41 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  33/63  train 0.14499  val 0.57755  lr 1.58e-03  0.3s
15:19:42 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  34/63  train 0.13907  val 0.57453  lr 1.51e-03  0.3s
15:19:42 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  35/63  train 0.13748  val 0.59959  lr 1.43e-03  0.3s
15:19:42 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  36/63  train 0.13378  val 0.57987  lr 1.35e-03  0.3s
15:19:43 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  37/63  train 0.13249  val 0.58642  lr 1.27e-03  0.3s
15:19:43 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  38/63  train 0.12978  val 0.57518  lr 1.19e-03  0.4s
15:19:43 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  39/63  train 0.12680  val 0.59885  lr 1.12e-03  0.3s
15:19:44 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  40/63  train 0.12302  val 0.59421  lr 1.04e-03  0.3s
15:19:44 | INFO    | 16_gap_injection | lstm_h64_l1_w48_H24_s42 epoch  41/63  train 0.11952  val 0.58938  lr 9.69e-04  0.3s
