Model,Window (h),h (hours),Params,Seeds,RMSE,MAE,R2,Skill
lstm_h32_l2,48,3,15137,5,49.77 ± 0.87,30.67 ± 0.33,0.707 ± 0.010,0.1760 ± 0.0144
gru_h64_l1,168,3,16193,5,49.80 ± 1.15,30.40 ± 0.31,0.707 ± 0.014,0.1755 ± 0.0190
lstm_h32_l2,24,3,15137,5,50.05 ± 0.70,30.74 ± 0.17,0.704 ± 0.008,0.1715 ± 0.0116
lstm_h32_l2,168,3,15137,5,50.13 ± 0.69,30.85 ± 0.18,0.703 ± 0.008,0.1702 ± 0.0115
gru_h128_l1,168,3,56961,5,50.36 ± 1.58,30.87 ± 0.58,0.700 ± 0.019,0.1663 ± 0.0262
gru_h32_l1,168,3,5025,5,50.66 ± 1.11,30.59 ± 0.45,0.697 ± 0.013,0.1614 ± 0.0184
dlinear,24,3,866,5,59.76 ± 1.04,36.63 ± 0.25,0.578 ± 0.015,0.0107 ± 0.0173
dlinear,48,3,1730,5,62.43 ± 1.91,38.44 ± 1.62,0.539 ± 0.028,-0.0335 ± 0.0316
dlinear,168,3,6050,5,64.48 ± 4.26,41.40 ± 3.47,0.507 ± 0.065,-0.0674 ± 0.0705
nlinear,48,3,867,5,65.34 ± 3.29,38.58 ± 1.31,0.494 ± 0.051,-0.0816 ± 0.0545
nlinear,168,3,3027,5,66.23 ± 7.24,38.17 ± 2.78,0.476 ± 0.118,-0.0964 ± 0.1199
nlinear,24,3,435,5,78.22 ± 2.03,41.97 ± 0.78,0.276 ± 0.037,-0.2948 ± 0.0336
gru_h128_l1,24,6,56961,5,55.64 ± 1.18,35.25 ± 0.60,0.633 ± 0.016,0.3269 ± 0.0143
gru_h64_l1,24,6,16193,5,55.72 ± 0.64,34.94 ± 0.39,0.633 ± 0.008,0.3260 ± 0.0077
lstm_h64_l1,24,6,21569,5,55.98 ± 0.11,35.72 ± 0.56,0.629 ± 0.001,0.3228 ± 0.0014
lstm_h128_l1,24,6,75905,5,56.37 ± 1.49,35.68 ± 0.86,0.624 ± 0.020,0.3182 ± 0.0180
gru_h64_l2,24,6,41153,5,56.48 ± 1.09,35.39 ± 0.63,0.622 ± 0.015,0.3168 ± 0.0132
gru_h32_l1,24,6,5025,5,56.49 ± 0.46,34.78 ± 0.26,0.622 ± 0.006,0.3167 ± 0.0056
lstm_h64_l1,168,6,21569,5,56.79 ± 0.24,36.14 ± 0.20,0.618 ± 0.003,0.3130 ± 0.0029
lstm_h32_l1,24,6,6689,5,56.89 ± 0.93,35.67 ± 0.46,0.617 ± 0.013,0.3118 ± 0.0113
lstm_h64_l1,48,6,21569,5,56.91 ± 0.31,36.41 ± 0.24,0.617 ± 0.004,0.3116 ± 0.0038
lstm_h128_l1,168,6,75905,5,56.93 ± 0.37,36.51 ± 0.20,0.616 ± 0.005,0.3114 ± 0.0045
gru_h128_l1,48,6,56961,5,56.94 ± 0.96,35.85 ± 0.46,0.616 ± 0.013,0.3113 ± 0.0116
lstm_h128_l1,48,6,75905,5,56.97 ± 0.58,36.59 ± 0.46,0.616 ± 0.008,0.3109 ± 0.0070
gru_h64_l1,48,6,16193,5,56.98 ± 0.60,35.85 ± 0.65,0.616 ± 0.008,0.3108 ± 0.0073
gru_h64_l1,168,6,16193,5,57.20 ± 0.58,35.99 ± 0.21,0.613 ± 0.008,0.3081 ± 0.0071
gru_h128_l1,168,6,56961,5,57.20 ± 0.99,36.30 ± 0.28,0.613 ± 0.014,0.3081 ± 0.0120
gru_h64_l2,48,6,41153,5,57.80 ± 0.94,36.18 ± 0.43,0.605 ± 0.013,0.3009 ± 0.0114
gru_h32_l2,24,6,11361,5,57.91 ± 1.21,35.86 ± 0.53,0.603 ± 0.017,0.2995 ± 0.0147
lstm_h64_l2,24,6,54849,5,58.22 ± 1.97,36.78 ± 0.97,0.599 ± 0.027,0.2958 ± 0.0238
lstm_h32_l1,48,6,6689,5,58.22 ± 1.06,36.67 ± 0.56,0.599 ± 0.015,0.2957 ± 0.0128
