model,horizon_h,stratum,group,n,rmse,mae,r2,smape,bias,reference_rmse,skill_vs_persistence
lstm_h64_l1,1,pollution,observed > 65 ug/m3,6199,40.63685721294208,25.45034451731698,0.7787027201955965,15.969539339331812,-1.5659721441421703,43.516790810360206,0.06617982493167873
lstm_h64_l1,1,pollution,observed <= 65 ug/m3,3135,13.151790470288628,9.070713493662106,0.2743489942942515,23.31305261339109,2.9865591223203394,15.485394672589692,0.15069710857494112
lstm_h64_l1,1,pollution,observed > 35 ug/m3,8158,36.09676768070379,21.677848657657456,0.8381765463712014,16.654332423940645,-0.7679271764353534,38.823631101999,0.07023720718268422
lstm_h64_l1,1,pollution,observed <= 35 ug/m3,1176,11.268247923682061,7.955342785977174,-1.0536401160689248,30.795536048461898,5.0341423744018385,12.861639425340885,0.12388712270376778
persistence,3,overall,all,9311,60.40721282062346,37.12200622919128,0.568597091499448,31.460553464874998,-0.03039415744817957,60.40721282062346,0.0
persistence,3,season,monsoon (wet),3068,32.639990349463,19.889830508474578,0.2543971505966601,35.8012867091812,-0.01108213820078227,32.639990349463,0.0
persistence,3,season,dry,6243,70.1335982835701,45.59042127182445,0.41703124958460713,29.32738518143252,-0.03988467083133109,70.1335982835701,0.0
persistence,3,pollution,observed > 65 ug/m3,6189,71.45869300022024,47.526256261108415,0.31556771830114305,29.937351319382465,-4.3509452253999035,71.45869300022024,0.0
persistence,3,pollution,observed <= 65 ug/m3,3122,27.569509149082297,16.496796925048045,-2.18764338188102,34.48012363734563,8.534593209481102,27.569509149082297,0.0
persistence,3,pollution,observed > 35 ug/m3,8138,64.02286989237007,40.54521995576309,0.49087445791051076,30.122193635590904,-1.3540181862865568,64.02286989237007,0.0
persistence,3,pollution,observed <= 35 ug/m3,1173,22.97290742817123,13.372549019607844,-7.543381274135273,40.745781334196366,9.152600170502984,22.97290742817123,0.0
seasonal_naive,3,overall,all,9311,73.1478083660569,44.827838041026745,0.3674307014088962,37.89258297072908,-0.35098270862420794,60.40721282062346,-0.2109118257660072
seasonal_naive,3,season,monsoon (wet),3068,40.36551948102019,26.329530638852674,-0.14032490006213516,47.8061730445851,-0.14308996088657105,32.639990349463,-0.2366890752369446
seasonal_naive,3,season,dry,6243,84.73090230194347,53.91846868492712,0.14910358286387926,33.02074341497219,-0.45314752522825563,70.1335982835701,-0.20813567784376796
seasonal_naive,3,pollution,observed > 65 ug/m3,6189,86.08476454086347,56.57149781871062,0.0067171435426202075,34.80953003063216,-6.587009209888512,71.45869300022024,-0.20467868815622148
seasonal_naive,3,pollution,observed <= 65 ug/m3,3122,35.59385910369453,21.547405509288918,-4.313269132550992,44.00437497785909,12.011210762331839,27.569509149082297,-0.2910588618469958
seasonal_naive,3,pollution,observed > 35 ug/m3,8138,77.22796936918442,48.3482428115016,0.25919510916250144,35.2432681257782,-2.667485868763824,64.02286989237007,-0.20625597538838347
seasonal_naive,3,pollution,observed <= 35 ug/m3,1173,33.07391809222207,20.404092071611252,-16.707985450033753,56.27291051396032,15.720375106564365,22.97290742817123,-0.4396923069329992
climatology,3,overall,all,9311,65.30518294293076,42.7646809477626,0.49580240038201207,37.49714157919659,-12.640244795433217,60.40721282062346,-0.08108253788916908
climatology,3,season,monsoon (wet),3068,34.786368600461714,22.112670953261723,0.15311253527953805,41.906740920625936,-10.650775046381774,32.639990349463,-0.06575915703461677
climatology,3,season,dry,6243,75.9337034385307,52.91370652250691,0.3166201075718106,35.33013040195724,-13.617930714076468,70.1335982835701,-0.0827008067019337
climatology,3,pollution,observed > 65 ug/m3,6189,76.41517004887875,53.44892676657613,0.21732850726020636,35.518673655209504,-26.10740167028539,71.45869300022024,-0.06936142882774576
climatology,3,pollution,observed <= 65 ug/m3,3122,33.815415977306834,21.58441273103073,-3.795579877967117,41.41922293139263,14.056819233541832,27.569509149082297,-0.22655125248874608
climatology,3,pollution,observed > 35 ug/m3,8138,68.92901101240155,46.25136009254354,0.40985503760626407,35.48726960675494,-17.019030977978392,64.02286989237007,-0.07663107149490922
