model,window,horizon_h,seed,n_params,rmse,mae,r2,smape,bias,n,skill_vs_persistence
gru_h32_l1,168,12,42,5025,59.709062312888584,37.01792217450047,0.578236733105514,32.21914893194892,-10.921253915573969,9212,0.3947675663611948
gru_h32_l1,168,12,1337,5025,59.99876896842491,37.21243945465609,0.5741340375963107,32.15483269233972,-12.444289991470505,9212,0.391830995975065
gru_h32_l1,168,12,2024,5025,61.53662353993665,37.818263512562204,0.5520231444124755,32.66202856640265,-15.351504178272904,9212,0.376242751429853
gru_h32_l1,168,12,7,5025,61.61936180859082,37.94815765728204,0.550817691632893,33.07493308701212,-17.25461980863576,9212,0.375404086715438
gru_h32_l1,168,12,31415,5025,59.43848142305375,37.39721329194232,0.582050643321004,32.79379750136581,-9.13060877375721,9212,0.3975102711384484
gru_h32_l1,168,24,42,5025,61.22093775584522,37.752396418496595,0.5595383886161122,32.80598017920674,-18.17751588908322,9083,0.17004776856477177
gru_h32_l1,168,24,1337,5025,60.50463120320276,37.13585364432537,0.5697852024321202,32.43461688877188,-17.712725507756254,9083,0.1797585022377547
gru_h32_l1,168,24,2024,5025,58.68890879960191,36.84024062974021,0.595218945431736,33.164337674829994,-11.327088471785533,9083,0.20437365704876675
gru_h32_l1,168,24,7,5025,59.98810315119719,37.22413653535986,0.5770993358900662,32.66531976375725,-14.201595072686423,9083,0.18676090411324686
gru_h32_l1,168,24,31415,5025,59.17634351731663,36.44417649930984,0.588467288650021,31.48364155307067,-12.842905751626851,9083,0.1977656639915597
gru_h32_l2,24,1,42,11361,37.20575286680128,20.6445266176647,0.8363297412429831,18.29490478422371,-10.079172852947872,9334,-0.01706211463838825
gru_h32_l2,24,1,1337,11361,35.661440991040166,19.845831098061606,0.8496347949265532,17.995645501896316,-4.401592840497854,9334,0.025153429491193702
gru_h32_l2,24,1,2024,11361,34.099920007517625,19.2719744435208,0.8625146905744027,17.56372591542079,-3.441798314020244,9334,0.06783940440586256
gru_h32_l2,24,1,7,11361,36.21712925344949,19.73302837938405,0.8449122050882033,17.752479193197388,-5.013786185934163,9334,0.009963050700335652
gru_h32_l2,24,1,31415,11361,35.78916052880585,19.736771892044718,0.8485558163979243,17.82433591459983,-6.792794453782524,9334,0.02166206879690402
gru_h32_l2,24,3,42,11361,50.21360918434142,30.37402240182126,0.7019093533359386,26.962087166546418,-12.257075528047748,9311,0.1687481206350554
gru_h32_l2,24,3,1337,11361,49.52086385934043,29.930464274980558,0.710077515926083,26.16254538751604,-9.35817079050514,9311,0.1802160446238359
gru_h32_l2,24,3,2024,11361,48.65132440731769,30.44914497308571,0.7201696552114568,26.794026804001845,0.7377894155079843,9311,0.19461067419571831
gru_h32_l2,24,3,7,11361,48.504493827542184,29.417735551474703,0.7218561725108157,25.957810919242913,-6.642827208799229,9311,0.19704135379372445
gru_h32_l2,24,3,31415,11361,49.50323965940023,29.752904918968582,0.7102838428024743,26.14812282607788,-9.958213401494463,9311,0.18050780117271914
gru_h32_l2,24,6,42,11361,58.141743834441016,35.77681665005206,0.5999709471813764,30.956894567460118,-15.211157403959358,9277,0.29671235296994836
gru_h32_l2,24,6,1337,11361,55.88976656505093,34.967143161877274,0.6303591003375464,30.403981617496484,-8.088409119698838,9277,0.3239524680835294
gru_h32_l2,24,6,2024,11361,58.12938577894885,36.09891801599845,0.6001409818424284,31.274820481825174,-12.2205784533607,9277,0.2968618370960815
gru_h32_l2,24,6,7,11361,58.19228109968417,36.24410718362029,0.5992752280945399,31.320642767027586,-11.754905630269045,9277,0.2961010497647779
gru_h32_l2,24,6,31415,11361,59.19131506762008,36.21133795344696,0.5853979883118343,31.254399116525207,-18.910829187962545,9277,0.2840166470228611
gru_h32_l2,24,12,42,11361,58.308253464143874,36.437803081152616,0.5977942115289989,31.734896044068638,-8.888930936850372,9212,0.4089666663930426
gru_h32_l2,24,12,1337,11361,58.6640951598005,37.33544050577158,0.5928700952979672,32.711304939493125,-8.44427367909395,9212,0.4053597275614821
gru_h32_l2,24,12,2024,11361,60.89695370877554,37.23892728938731,0.5612881280780133,32.342037360481434,-17.493970759752937,9212,0.38272667386377457
gru_h32_l2,24,12,7,11361,58.39495101593114,36.27198971934669,0.5965972564120652,31.812987773108464,-11.313119425236982,9212,0.4080878689672218
gru_h32_l2,24,12,31415,11361,59.390711960175885,36.881082973075834,0.5827221676597074,32.220438632243244,-12.198304867219516,9212,0.3979944795173991
gru_h32_l2,24,24,42,11361,62.07618356581758,38.60666387621889,0.5471460862864319,34.07282997006252,-18.749406665821528,9083,0.1584534808189193
gru_h32_l2,24,24,1337,11361,62.40446060525421,38.45984225361199,0.5423437735018428,33.288142094513326,-19.76335509021844,9083,0.15400313635513552
gru_h32_l2,24,24,2024,11361,57.9489593004214,36.86322096630517,0.6053615562521033,32.50540985518788,-4.960644807121533,9083,0.21440491041576726
gru_h32_l2,24,24,7,11361,58.51965159420691,36.77687922501112,0.5975503336946271,32.26141500735085,-9.347870750634423,9083,0.2066682216283604
gru_h32_l2,24,24,31415,11361,58.44879380425103,36.75823352560529,0.5985243459658892,32.2773192837565,-7.990647082562074,9083,0.20762881751343143
gru_h32_l2,48,1,42,11361,36.49079657240896,20.213232768453178,0.8425595716356488,18.087996256139398,-8.462005080131707,9334,0.0024820392792042067
gru_h32_l2,48,1,1337,11361,36.02919384010368,19.94146324477972,0.846517570669211,17.954365507776355,-6.179471496807481,9334,0.015100481720673575
gru_h32_l2,48,1,2024,11361,34.7870988621739,19.61414605512704,0.8569176719372876,17.880987866618618,-3.901491171471639,9334,0.04905457880231656
gru_h32_l2,48,1,7,11361,34.63344347664541,19.367001798541605,0.858178876008036,17.57174109942615,-4.168743610145375,9334,0.05325492577259994
gru_h32_l2,48,1,31415,11361,35.36557948624624,19.674062452276697,0.8521194244052931,17.903983541813034,-5.489277756127067,9334,0.033241144549213786
gru_h32_l2,48,3,42,11361,49.75685240805531,30.406261419547956,0.7073077173942872,26.76470442318399,-8.36457376196501,9311,0.1763094159664993
gru_h32_l2,48,3,1337,11361,48.76008270581134,30.42690555310881,0.7189171553276605,26.55212887728698,-1.5438219563768096,9311,0.19281025511635097
gru_h32_l2,48,3,2024,11361,49.998280972722505,30.255472915703923,0.7044604426293523,26.45259829148756,-8.533510910642656,9311,0.17231273157412197
gru_h32_l2,48,3,7,11361,48.48689090752224,29.684641388593423,0.7220580199985651,25.96412467340688,-4.509027854759197,9311,0.1973327580681149
gru_h32_l2,48,3,31415,11361,50.92428639559587,30.49659357908032,0.6934118415569834,26.476246094824322,-12.900750919183215,9311,0.15698334656139024
gru_h32_l2,48,6,42,11361,59.50786786513981,36.75897963006814,0.5809515802934151,31.671095463619604,-14.1220261118983,9277,0.28018759654301373
gru_h32_l2,48,6,1337,11361,56.5791655579655,35.576491027449975,0.6211838347663203,30.9016915252613,-7.9449829587315,9277,0.3156134372320919
gru_h32_l2,48,6,2024,11361,58.082655687085946,36.202718070077346,0.6007836150925082,31.182850110783004,-8.948866349875358,9277,0.2974270883972008
gru_h32_l2,48,6,7,11361,59.78814756064744,36.841211635704234,0.5769948813922873,31.565584212039017,-15.888480076314806,9277,0.27679730869535046
