model,tier,horizon_h,rmse,mae,r2,smape,bias,n,skill_vs_persistence,rmse_ci_lower,rmse_ci_upper
random_forest,tier2,12,96.13288025613606,58.751684367065366,0.22423829588765976,62.82468884125567,-37.22920950153096,3440,-0.009201164096733994,79.14476530411008,113.46868123149076
xgboost,tier2,12,93.65025452612828,56.81146085339969,0.2637889158627722,60.76313983623754,-35.639766979994064,3440,0.016861394000607932,77.7825526717812,110.57028274948178
lightgbm,tier2,12,96.9391860445419,57.47046339246699,0.21117046066240774,61.73559690865405,-38.012582430214394,3440,-0.017665747058453363,79.15570847986211,114.94029311235269
persistence,tier1,24,109.87063802759914,74.75236686390532,-0.004433064408110532,81.7152709451951,1.1955621301775148,3380,0.0,95.28136930478075,123.53366585681167
seasonal_naive,tier1,24,109.87063802759914,74.75236686390532,-0.004433064408110532,81.7152709451951,1.1955621301775148,3380,0.0,95.28136930478075,123.53366585681167
climatology,tier1,24,108.23770139018863,77.79721256552443,0.025201552131869587,83.2928004856878,-11.38617831264448,3380,0.01486235692014748,92.37879387051066,124.55189896993926
sarimax,tier1,24,97.33207952460405,70.25518379595587,0.21567848586692495,78.26201922499683,-12.812082984408656,3356,0.11412110394631036,83.6219506156381,111.25495763051151
ridge,tier2,24,108.03191305383069,69.65252919993469,0.02890472486325435,77.99684718899424,-47.60846337065745,3380,0.016735362666289166,90.95896138784603,125.26776317912571
random_forest,tier2,24,111.75122488943451,70.06186035891696,-0.039111836093111974,78.31142070016111,-45.74931690977385,3380,-0.017116373360487547,92.4925832660442,131.32329128381593
xgboost,tier2,24,110.29938582649172,68.51048067063178,-0.01228755096123213,75.75556106933462,-45.39334676100618,3380,-0.003902296433236918,91.85864556071435,129.18792261156057
lightgbm,tier2,24,112.55056354766674,69.18869561621138,-0.0540302022099548,77.1559840584361,-45.87507123976496,3380,-0.024391644284384784,92.75154861768938,132.12621119638882
