arm,target_coverage,family,model,skill,skill_std,rmse,train_rows,n_gaps,coverage,n_draws
contiguous,0.95,climatological,climatology,0.012915527196284571,0.006387193066078903,108.45160081408055,18941.9,222.5,0.9500067105086567,10
contiguous,0.95,linear,dlinear,0.0841900482944961,0.016310065885207774,100.62062370590847,18941.9,222.5,0.9500067105086567,10
contiguous,0.95,sequence,gru_h64_l2,0.08011392320822011,0.01421008163368712,101.06847016981791,18941.9,222.5,0.9500067105086567,10
contiguous,0.95,trees,xgboost,0.012561169973847496,0.007592902253583731,108.4905342681994,18941.9,222.5,0.9500067105086567,10
contiguous,1.0,climatological,climatology,0.015899452543810644,0.0,108.12375503232113,20655.0,218.0,0.9766809824184673,1
contiguous,1.0,linear,dlinear,0.04662713591166808,0.0,104.74768485558458,20655.0,218.0,0.9766809824184673,1
contiguous,1.0,sequence,gru_h64_l2,0.07553143582361492,0.0,101.57195098251792,20655.0,218.0,0.9766809824184673,1
contiguous,1.0,trees,xgboost,-0.009075960754398649,0.0,110.86781962639837,20655.0,218.0,0.9766809824184673,1
fragmented,0.75,climatological,persistence,0.0,0.0,109.87063802759914,3994.3,1228.8,0.75,10
fragmented,0.75,linear,dlinear,0.024718387747348563,0.05681874082636216,107.15481299478438,3994.3,1228.8,0.75,10
fragmented,0.75,sequence,lstm_h64_l1,0.017882865173522684,0.06211607985555568,107.90583622122267,3994.3,1228.8,0.75,10
fragmented,0.75,trees,random_forest,-0.017522877467280994,0.05873907992097158,111.79588775500875,3994.3,1228.8,0.75,10
fragmented,0.82,climatological,persistence,0.0,0.0,109.87063802759914,6869.2,960.9,0.8199906052878807,10
fragmented,0.82,linear,dlinear,0.04848739321335911,0.03302680834902112,104.54329719895229,6869.2,960.9,0.8199906052878807,10
fragmented,0.82,sequence,gru_h64_l2,0.04072821228651602,0.03830288533710528,105.39580335795613,6869.2,960.9,0.8199906052878807,10
fragmented,0.82,trees,xgboost,-0.04444500805153735,0.051421267504557694,114.75383941936335,6869.2,960.9,0.8199906052878807,10
fragmented,0.85,climatological,persistence,0.0,0.0,109.87063802759914,8411.6,841.3,0.8499865789826868,10
fragmented,0.85,linear,dlinear,0.02867028618451766,0.042569930222343996,106.72061539207232,8411.6,841.3,0.8499865789826868,10
fragmented,0.85,sequence,lstm_h64_l1,0.04739829980910948,0.04209165312731107,104.66295658614885,8411.6,841.3,0.8499865789826868,10
fragmented,0.85,trees,random_forest,-0.033390972107701186,0.035169141919473096,113.53932543743403,8411.6,841.3,0.8499865789826868,10
fragmented,0.9,climatological,persistence,0.0,0.0,109.87063802759914,11950.4,631.2,0.9000134210173132,10
fragmented,0.9,linear,dlinear,0.055348807190952365,0.03863333050258203,103.78942926746262,11950.4,631.2,0.9000134210173132,10
fragmented,0.9,sequence,lstm_h64_l1,0.04609336037028863,0.026296373083740675,104.80633111487948,11950.4,631.2,0.9000134210173132,10
fragmented,0.9,trees,xgboost,-0.025263959768365762,0.03543395052461592,112.6464054064531,11950.4,631.2,0.9000134210173132,10
fragmented,0.95,climatological,climatology,0.005671816645950412,0.017572275247068708,109.24747191393301,16895.5,382.2,0.9500067105086567,10
fragmented,0.95,linear,dlinear,0.07897986942798614,0.03090745976146146,101.19306938220983,16895.5,382.2,0.9500067105086567,10
fragmented,0.95,sequence,gru_h64_l2,0.06388913836355553,0.03340588440690528,102.85109763256173,16895.5,382.2,0.9500067105086567,10
fragmented,0.95,trees,xgboost,0.003417743863782885,0.02192589339993019,109.4951283286704,16895.5,382.2,0.9500067105086567,10
fragmented,1.0,climatological,climatology,0.015899452543810644,0.0,108.12375503232113,20655.0,218.0,0.9766809824184673,1
fragmented,1.0,linear,dlinear,0.04662713591166808,0.0,104.74768485558458,20655.0,218.0,0.9766809824184673,1
