Model,Window (h),h (hours),Params,Seeds,RMSE,MAE,R2,Skill
lstm_h32_l2,48,6,25121,5,59.98 ± 0.88,35.83 ± 0.78,0.595 ± 0.012,0.0049 ± 0.0146
lstm_h32_l2,24,6,25121,5,60.29 ± 1.61,36.02 ± 0.79,0.591 ± 0.022,-0.0003 ± 0.0268
lstm_h32_l1,24,6,16673,5,60.39 ± 0.69,35.63 ± 0.21,0.589 ± 0.009,-0.0020 ± 0.0115
lstm_h32_l1,168,6,16673,5,60.82 ± 0.38,35.87 ± 0.31,0.584 ± 0.005,-0.0091 ± 0.0062
lstm_h32_l1,48,6,16673,5,61.12 ± 1.54,36.08 ± 0.63,0.579 ± 0.021,-0.0140 ± 0.0256
gru_h32_l2,48,6,18849,5,61.26 ± 0.56,35.84 ± 0.44,0.578 ± 0.008,-0.0163 ± 0.0093
gru_h32_l2,24,6,18849,5,61.55 ± 0.86,36.11 ± 0.46,0.574 ± 0.012,-0.0212 ± 0.0143
gru_h32_l1,48,6,12513,5,61.75 ± 1.12,36.36 ± 0.53,0.571 ± 0.016,-0.0245 ± 0.0185
gru_h32_l1,24,6,12513,5,61.85 ± 1.04,36.31 ± 0.35,0.569 ± 0.014,-0.0262 ± 0.0172
gru_h32_l1,168,6,12513,5,63.20 ± 0.70,37.07 ± 0.61,0.550 ± 0.010,-0.0486 ± 0.0116
gru_h32_l2,168,6,18849,5,63.23 ± 3.65,36.95 ± 2.03,0.549 ± 0.053,-0.0490 ± 0.0605
gru_h64_l2,48,12,56129,5,71.35 ± 1.37,45.89 ± 1.13,0.431 ± 0.022,0.0852 ± 0.0176
lstm_h64_l2,48,12,74817,5,71.82 ± 0.72,46.31 ± 0.33,0.424 ± 0.011,0.0793 ± 0.0092
gru_h64_l2,24,12,56129,5,72.51 ± 3.71,46.50 ± 1.77,0.412 ± 0.061,0.0704 ± 0.0476
gru_h64_l2,168,12,56129,5,73.46 ± 3.12,46.72 ± 1.19,0.397 ± 0.052,0.0582 ± 0.0401
lstm_h64_l2,24,12,74817,5,73.82 ± 2.12,47.30 ± 1.05,0.391 ± 0.036,0.0536 ± 0.0272
gru_h128_l1,24,12,86913,5,74.46 ± 0.97,47.07 ± 0.51,0.381 ± 0.016,0.0453 ± 0.0125
gru_h128_l1,48,12,86913,5,74.54 ± 1.55,47.28 ± 0.76,0.379 ± 0.026,0.0443 ± 0.0199
lstm_h64_l2,168,12,74817,5,74.55 ± 2.89,47.69 ± 1.56,0.379 ± 0.049,0.0442 ± 0.0371
gru_h128_l1,168,12,86913,5,74.92 ± 2.08,47.47 ± 1.11,0.373 ± 0.035,0.0395 ± 0.0266
gru_h64_l1,48,12,31169,5,75.03 ± 1.46,47.48 ± 0.58,0.371 ± 0.025,0.0380 ± 0.0187
gru_h32_l2,168,12,18849,5,75.19 ± 2.85,48.08 ± 1.29,0.368 ± 0.049,0.0360 ± 0.0366
lstm_h64_l1,48,12,41537,5,75.38 ± 2.59,47.46 ± 1.28,0.365 ± 0.044,0.0336 ± 0.0333
lstm_h64_l1,24,12,41537,5,75.42 ± 4.05,47.72 ± 2.42,0.363 ± 0.070,0.0330 ± 0.0519
gru_h64_l1,24,12,31169,5,75.50 ± 2.30,47.81 ± 0.78,0.363 ± 0.039,0.0320 ± 0.0295
gru_h32_l2,24,12,18849,5,75.64 ± 2.60,48.20 ± 1.36,0.361 ± 0.044,0.0303 ± 0.0334
lstm_h64_l1,168,12,41537,5,75.83 ± 4.08,47.96 ± 2.32,0.356 ± 0.071,0.0278 ± 0.0524
lstm_h32_l2,48,12,25121,5,75.93 ± 2.44,48.42 ± 1.03,0.356 ± 0.042,0.0265 ± 0.0313
lstm_h32_l2,168,12,25121,5,76.12 ± 3.92,48.35 ± 1.53,0.351 ± 0.067,0.0241 ± 0.0503
gru_h32_l2,48,12,18849,5,76.16 ± 2.69,48.40 ± 1.35,0.352 ± 0.046,0.0235 ± 0.0345
gru_h32_l1,48,12,12513,5,76.18 ± 1.08,48.01 ± 0.88,0.352 ± 0.018,0.0234 ± 0.0139
lstm_h32_l2,24,12,25121,5,76.22 ± 1.97,48.56 ± 0.87,0.351 ± 0.034,0.0228 ± 0.0253
gru_h64_l1,168,12,31169,5,76.22 ± 2.49,48.03 ± 0.85,0.351 ± 0.043,0.0228 ± 0.0319
lstm_h32_l1,168,12,16673,5,76.24 ± 1.42,48.05 ± 0.52,0.351 ± 0.024,0.0225 ± 0.0182
lstm_h32_l1,24,12,16673,5,76.31 ± 0.90,48.04 ± 0.59,0.350 ± 0.015,0.0217 ± 0.0116
lstm_h32_l1,48,12,16673,5,76.62 ± 2.74,48.03 ± 0.79,0.344 ± 0.048,0.0177 ± 0.0352
gru_h32_l1,24,12,12513,5,77.20 ± 0.67,48.75 ± 0.67,0.334 ± 0.012,0.0102 ± 0.0086
gru_h32_l1,168,12,12513,5,77.41 ± 2.53,48.91 ± 1.29,0.330 ± 0.044,0.0075 ± 0.0325
lstm_h64_l2,168,24,74817,5,88.71 ± 1.09,60.35 ± 1.42,0.135 ± 0.021,0.0882 ± 0.0112
lstm_h64_l2,48,24,74817,5,88.81 ± 1.04,60.49 ± 1.26,0.133 ± 0.020,0.0872 ± 0.0106
lstm_h64_l2,24,24,74817,5,89.80 ± 1.48,60.83 ± 1.25,0.114 ± 0.029,0.0770 ± 0.0153
gru_h64_l2,24,24,56129,5,90.08 ± 2.18,60.13 ± 1.08,0.108 ± 0.043,0.0741 ± 0.0225
gru_h64_l2,48,24,56129,5,90.77 ± 2.57,60.23 ± 0.88,0.094 ± 0.051,0.0670 ± 0.0264
gru_h64_l2,168,24,56129,5,90.82 ± 2.84,60.34 ± 0.84,0.093 ± 0.056,0.0665 ± 0.0292
lstm_h32_l1,24,24,16673,5,91.14 ± 1.35,60.28 ± 0.95,0.087 ± 0.027,0.0632 ± 0.0138
lstm_h32_l1,48,24,16673,5,91.41 ± 1.28,60.41 ± 0.82,0.082 ± 0.026,0.0605 ± 0.0132
lstm_h64_l1,168,24,41537,5,91.55 ± 0.75,60.83 ± 1.11,0.079 ± 0.015,0.0590 ± 0.0077
gru_h128_l1,168,24,86913,5,91.80 ± 2.30,60.52 ± 0.76,0.073 ± 0.046,0.0564 ± 0.0236
gru_h128_l1,48,24,86913,5,92.03 ± 2.38,60.67 ± 0.95,0.069 ± 0.047,0.0541 ± 0.0244
lstm_h64_l1,24,24,41537,5,92.14 ± 1.45,61.51 ± 0.64,0.067 ± 0.029,0.0530 ± 0.0149
lstm_h64_l1,48,24,41537,5,92.88 ± 2.95,61.89 ± 1.46,0.051 ± 0.061,0.0453 ± 0.0303
gru_h32_l2,168,24,18849,5,93.00 ± 1.82,61.54 ± 1.00,0.049 ± 0.037,0.0441 ± 0.0188
gru_h32_l1,48,24,12513,5,93.22 ± 1.15,61.00 ± 0.49,0.045 ± 0.024,0.0418 ± 0.0119
gru_h128_l1,24,24,86913,5,93.86 ± 1.80,61.78 ± 1.13,0.031 ± 0.037,0.0352 ± 0.0185
lstm_h32_l2,48,24,25121,5,93.96 ± 5.22,62.52 ± 2.80,0.027 ± 0.108,0.0343 ± 0.0537
lstm_h32_l2,24,24,25121,5,94.08 ± 4.86,62.47 ± 2.76,0.025 ± 0.101,0.0330 ± 0.0499
lstm_h32_l2,168,24,25121,5,94.26 ± 4.79,62.58 ± 2.74,0.021 ± 0.100,0.0312 ± 0.0493
gru_h32_l2,24,24,18849,5,94.27 ± 2.62,62.86 ± 2.08,0.023 ± 0.054,0.0311 ± 0.0269
gru_h32_l1,168,24,12513,5,94.38 ± 3.79,61.81 ± 1.82,0.020 ± 0.080,0.0299 ± 0.0390
gru_h64_l1,48,24,31169,5,94.84 ± 3.65,62.11 ± 1.81,0.010 ± 0.077,0.0252 ± 0.0376
gru_h64_l1,168,24,31169,5,95.06 ± 5.05,62.09 ± 2.41,0.005 ± 0.109,0.0230 ± 0.0519
gru_h32_l2,48,24,18849,5,95.26 ± 5.34,62.70 ± 3.02,0.000 ± 0.114,0.0209 ± 0.0549
lstm_h32_l1,168,24,16673,5,95.27 ± 5.72,62.42 ± 3.03,-0.001 ± 0.121,0.0207 ± 0.0587
gru_h64_l1,24,24,31169,5,95.81 ± 5.17,62.82 ± 3.43,-0.011 ± 0.110,0.0153 ± 0.0532
gru_h32_l1,24,24,12513,5,96.24 ± 2.68,62.31 ± 1.20,-0.019 ± 0.057,0.0108 ± 0.0276
