model,horizon_h,stratum,group,n,rmse,mae,r2,smape,bias,reference_rmse,skill_vs_persistence
seasonal_naive,3,pollution,observed <= 65 ug/m3,2109,93.12108138846354,57.19724988146041,-25.1550304323492,101.00998774100185,42.31626363205311,34.91574224364772,-1.6670228213580427
seasonal_naive,3,pollution,observed > 35 ug/m3,2450,91.21389528946537,68.3395918367347,0.07015857650052038,71.48852788840455,-34.10612244897959,46.08553715314467,-0.9792303816782428
seasonal_naive,3,pollution,observed <= 35 ug/m3,1489,103.5725445985917,63.03022162525185,-126.14026793409037,109.39849984627024,57.04499664204164,35.518664868814106,-1.9160033177240812
climatology,3,overall,all,3939,93.43292574837835,70.31392123430844,0.014172467828697077,83.84086009377828,5.830725954140399,42.401818256050554,-1.2035122452572158
climatology,3,season,monsoon (wet),979,43.50690456766165,35.99086395808045,0.013265190502297464,67.72142898952474,5.828886629980256,24.03903872961484,-0.8098437735808219
climatology,3,season,dry,2960,104.83776586357479,81.6660405158717,-0.02790696628913647,89.17225301643509,5.831334298178499,46.9194392952834,-1.234420688699783
climatology,3,pollution,observed > 65 ug/m3,1830,111.61217526542053,74.99728007435655,-0.4108490379597711,48.14035914502248,-63.64508052754128,49.64839763756875,-1.2480519125749998
climatology,3,pollution,observed <= 65 ug/m3,2109,74.13006112813346,66.25012480126529,-15.574785807811232,114.81853517022358,66.11556514877172,34.91574224364772,-1.1231128529601877
climatology,3,pollution,observed > 35 ug/m3,2450,99.17765363897497,65.6476578154595,-0.09929573560940019,49.026280188068064,-38.02552839212496,46.08553715314467,-1.1520342338509022
climatology,3,pollution,observed <= 35 ug/m3,1489,83.12090340100787,77.9917891833883,-80.88688283471481,141.12475584192467,77.9917891833883,35.518664868814106,-1.3402034876031954
sarimax,3,overall,all,3936,40.795409293404305,23.067605392621587,0.8121824931681085,37.72746469464122,-0.9684975206110517,42.401818256050554,0.037885379182224566
sarimax,3,season,monsoon (wet),976,22.93601952666437,15.433745269612329,0.7265986872035752,33.6147978890441,2.574002556322398,24.03903872961484,0.04588449710310627
sarimax,3,season,dry,2960,45.161546228350105,25.584716027775993,0.8092537976652846,39.0835332089192,-2.136565113545865,46.9194392952834,0.03746619936930928
sarimax,3,pollution,observed > 65 ug/m3,1830,48.61424378694157,31.69740377134156,0.7323393855446859,22.09556404627368,-15.869393366848145,49.64839763756875,0.020829551402171242
sarimax,3,pollution,observed <= 65 ug/m3,2106,32.50851222952578,15.56877774159711,-2.1949314057550833,51.31074018681245,11.97957436856933,34.91574224364772,0.06894397367593963
sarimax,3,pollution,observed > 35 ug/m3,2447,44.6922646336325,27.705022340662797,0.7768558910303284,23.218558643902533,-10.273439167220483,46.08553715314467,0.03023231594073117
sarimax,3,pollution,observed <= 35 ug/m3,1489,33.41855085656799,15.446544766794288,-12.236374819936312,61.57118068265841,14.323102351285037,35.518664868814106,0.059127053902581994
ridge,3,overall,all,3939,90.8286855755073,38.96539758816174,0.06836219251989284,43.41083774453529,6.96236744691742,42.401818256050554,-1.142094120280949
ridge,3,season,monsoon (wet),979,27.303758894771782,19.859439555182405,0.6113765888848675,42.26560619564076,-4.629291932798743,24.03903872961484,-0.1358090979376383
ridge,3,season,dry,2960,103.59471411570158,45.28456411325861,-0.003675879168848928,43.78961534128115,10.796230464735705,46.9194392952834,-1.207927368094433
ridge,3,pollution,observed > 65 ug/m3,1830,126.38457878386163,66.03480275142918,-0.8090291804494554,36.32629186936799,1.6736535459406692,49.64839763756875,-1.5455923010136972
ridge,3,pollution,observed <= 65 ug/m3,2109,39.348997283659976,15.477009039665086,-3.6701039565092257,49.55816773578999,11.551436407935652,34.91574224364772,-0.126970093004934
ridge,3,pollution,observed > 35 ug/m3,2450,111.19536928201165,53.29673776885223,-0.38184804129840444,33.48297865002101,2.5236180423634047,46.08553715314467,-1.4128040194585032
ridge,3,pollution,observed <= 35 ug/m3,1489,38.46758003744399,15.384616229738825,-16.538141188265893,59.7461330981686,14.265883928554318,35.518664868814106,-0.08302438111121324
random_forest,3,overall,all,3939,42.25400272441543,22.808049370486483,0.7983785387830427,31.891235016775966,-6.815640432695796,42.401818256050554,0.003486065874404587
random_forest,3,season,monsoon (wet),979,22.591483641716014,14.924692296748047,0.7339436767110745,29.96911315448146,-1.530410283227338,24.03903872961484,0.06021684578075559
random_forest,3,season,dry,2960,46.979855818532805,25.415416456699294,0.7935848099449166,32.52696383542,-8.563694593617967,46.9194392952834,-0.0012876650735142992
random_forest,3,pollution,observed > 65 ug/m3,1830,54.58218672576618,35.02095215152345,0.662588979641964,23.568497493316602,-22.859027307246212,49.64839763756875,-0.09937458856605774
random_forest,3,pollution,observed <= 65 ug/m3,2109,27.377295471844306,12.210793756784414,-1.260686259371636,39.11295605420159,7.105363825448944,34.91574224364772,0.215903952984843
random_forest,3,pollution,observed > 35 ug/m3,2450,48.940065360311216,29.868583190165868,0.7323199687188839,24.058127775127023,-15.876970845681017,46.08553715314467,-0.06193978379118814
random_forest,3,pollution,observed <= 35 ug/m3,1489,27.966989146914113,11.190649868663446,-8.270117898514224,44.77982651579539,8.093868977521657,35.518664868814106,0.21261147483419263
xgboost,3,overall,all,3939,44.51029321324225,23.05150089143979,0.7762711674738044,31.535471738134373,-5.526805496991391,42.401818256050554,-0.04972605053064738
xgboost,3,season,monsoon (wet),979,22.156815545508575,14.455020645322222,0.7440832196107694,28.885066248902348,-0.10708159217065157,24.03903872961484,0.07829860441913039
xgboost,3,season,dry,2960,49.73985910585912,25.894728648517194,0.7686191585652349,32.41207544555267,-7.3193425587547365,46.9194392952834,-0.06011196751149672
xgboost,3,pollution,observed > 65 ug/m3,1830,57.67483316551461,35.35356090143248,0.6232700955761523,23.207123654373323,-20.639778762740765,49.64839763756875,-0.16166555034743535
xgboost,3,pollution,observed <= 65 ug/m3,2109,28.529028188738014,12.376882675087675,-1.4548963749317307,38.762061113801856,7.5868697407143255,34.91574224364772,0.18291789446554452
xgboost,3,pollution,observed > 35 ug/m3,2450,51.78021021397489,30.253789646855356,0.7003498476987646,23.837665625584183,-13.794637028193817,46.08553715314467,-0.12356746633779103
xgboost,3,pollution,observed <= 35 ug/m3,1489,28.798386192042802,11.20085787547732,-8.829470703508065,44.20143881385496,8.077081172885002,35.518664868814106,0.18920414665337848
lightgbm,3,overall,all,3939,44.56646811709285,23.02689079691255,0.7757060902508528,31.46143691146618,-5.103255831042738,42.401818256050554,-0.051050873525533724
