model,window,horizon_h,seed,n_params,rmse,mae,r2,smape,bias,n,skill_vs_persistence
gru_h32_l2,48,1,7,18849,26.190292637204227,12.82781693468927,0.9223926911278217,21.479590321178545,-5.026409698697343,3951,-0.23079379190444604
gru_h32_l2,48,1,31415,18849,25.673223565736247,12.692439998948823,0.9254268089431404,21.383293133391614,-4.169578619846002,3951,-0.20649450621244325
gru_h32_l2,48,3,42,18849,48.208505031762336,26.052750402833137,0.7375489141278522,35.53622043104962,-12.89620745510243,3939,-0.13694428716823226
gru_h32_l2,48,3,1337,18849,46.71786749077472,25.75892738027553,0.7535282963732312,36.02798114602977,-8.331105574535409,3939,-0.10178924895769748
gru_h32_l2,48,3,2024,18849,44.37428518768375,24.29308749058216,0.7776363540169011,34.50073733700034,-4.9509210700487305,3939,-0.04651845163153445
gru_h32_l2,48,3,7,18849,48.79745088845173,26.897406966447118,0.7310972044472386,37.22303185551986,-13.72525868461688,3939,-0.1508339240025054
gru_h32_l2,48,3,31415,18849,46.56476727097307,25.057710256112355,0.7551410857879167,34.38572669696532,-9.692459151052255,3939,-0.0981785495561498
gru_h32_l2,48,6,42,18849,60.795467505537495,35.30812194530294,0.5840466052248015,46.521244267274206,-9.764214547498458,3921,-0.008652495946338767
gru_h32_l2,48,6,1337,18849,61.72091800345539,36.142061568837356,0.5712866356937392,47.967042981052074,-15.033206260889019,3921,-0.024006567440478355
gru_h32_l2,48,6,2024,18849,60.82504846581798,35.43292955832194,0.5836417298360002,47.11385537784542,-10.830711306500525,3921,-0.009143271174223644
gru_h32_l2,48,6,7,18849,60.95791903490693,36.021776719912665,0.5818206976758734,48.157977704598125,-12.84502266814633,3921,-0.011347715627869404
gru_h32_l2,48,6,31415,18849,61.99469371818223,36.3002568518863,0.5674749095006468,47.61757201229047,-12.516706253367966,3921,-0.02854875733257134
gru_h32_l2,48,12,42,18849,74.54690936257501,47.13822550032153,0.37938452152325175,61.345277719635035,-15.51304747243463,3885,0.04426509579061266
gru_h32_l2,48,12,1337,18849,73.9527170983682,47.42943893566618,0.3892385921812318,62.367872965933444,-18.210050383977563,3885,0.051882987552584914
gru_h32_l2,48,12,2024,18849,77.52622849901576,49.0245151989466,0.32878657977243064,62.647811371025156,-20.97800444311658,3885,0.00606848490730616
gru_h32_l2,48,12,7,18849,74.51150096027085,47.94560808007686,0.3799739432408302,62.38129308342941,-15.414796048144344,3885,0.04471905218228245
gru_h32_l2,48,12,31415,18849,80.2792242171996,50.45085475367877,0.2802699238590354,63.589308881389194,-21.376267018346233,3885,-0.029226527609043762
gru_h32_l2,48,24,42,18849,90.69091177977681,60.14947829474158,0.09599731301879932,76.98631448731047,-19.641094598475497,3813,0.06784597860800612
gru_h32_l2,48,24,1337,18849,91.06605934244152,60.704752586438794,0.08850293852550661,77.56423415159792,-25.254455339389427,3813,0.0639900761554818
gru_h32_l2,48,24,2024,18849,103.85079700815173,67.76339718106031,-0.18539162011639632,87.76835152951892,-27.956162810785894,3813,-0.06741608564904555
gru_h32_l2,48,24,7,18849,94.39296865753121,62.151624038576706,0.02068710137102303,81.6925933769308,-23.61477146242923,3813,0.02979489787347367
gru_h32_l2,48,24,31415,18849,96.27850834145708,62.72634339128257,-0.018828044812009948,82.99156911030113,-31.46887473352525,3813,0.010414638436522905
gru_h32_l2,168,1,42,18849,25.74448337884469,12.651875928941363,0.9250122566654919,21.561502612578096,-3.5356340887797217,3951,-0.20984330940456775
gru_h32_l2,168,1,1337,18849,26.781034765121735,12.900450192866318,0.9188522227402518,21.203684861392013,-3.7629011036022826,3951,-0.2585552894077021
gru_h32_l2,168,1,2024,18849,26.908709546054737,13.176161972381559,0.9180766574238886,21.871159676302103,-5.12567948146222,3951,-0.2645552730631684
gru_h32_l2,168,1,7,18849,26.678373283468165,12.902881239422124,0.9194731683993356,21.79987151407267,-3.6714364703714524,3951,-0.2537307875956287
gru_h32_l2,168,1,31415,18849,26.50936118544711,13.044862271469722,0.9204902392480524,21.882010786099322,-4.825587994388826,3951,-0.2457881867288647
gru_h32_l2,168,3,42,18849,47.54424481242096,25.605170082164886,0.7447316607315008,35.118822744915995,-11.708745461519769,3939,-0.12127844436568735
gru_h32_l2,168,3,1337,18849,46.97103363247133,25.88530798203139,0.7508497768636728,35.88376364767697,-8.640937763585535,3939,-0.10775989248453444
gru_h32_l2,168,3,2024,18849,45.65609444680015,25.06768671024335,0.7646042801848624,35.25466771647926,-10.267082054720904,3939,-0.0767485057149695
gru_h32_l2,168,3,7,18849,48.174234046395334,26.24060675524108,0.7379219296477827,36.5836037763085,-12.049009232956072,3939,-0.13613604387168188
gru_h32_l2,168,3,31415,18849,47.338580317300725,25.15797172772216,0.7469353379247535,34.399966705132485,-8.901861248764689,3939,-0.11642807465091942
gru_h32_l2,168,6,42,18849,60.79605561552598,35.60460768999366,0.5840385576666707,47.102188075069364,-9.64032627805436,3921,-0.008662253229769767
gru_h32_l2,168,6,1337,18849,63.63638177458521,37.12552368022765,0.5442641161771355,48.59562891188344,-14.807871897735659,3921,-0.055785866011854646
gru_h32_l2,168,6,2024,18849,60.41811932882432,35.2313718137018,0.5891940989601188,46.78334690385591,-8.390386709989972,3921,-0.002391944035164073
gru_h32_l2,168,6,7,18849,69.35737680721722,40.326339848487805,0.4586382261332167,51.354904922838315,-16.2203137906714,3921,-0.15070241416464714
gru_h32_l2,168,6,31415,18849,61.924794148869346,36.479211971432775,0.5684497114252399,48.108439599501615,-11.674951582816416,3921,-0.027389059448077013
gru_h32_l2,168,12,42,18849,74.59386469949669,47.40160221516276,0.378602453243844,61.84026565721573,-14.47366005506715,3885,0.04366310095516346
gru_h32_l2,168,12,1337,18849,74.34978568134585,47.667459890886576,0.3826623571887796,62.35304290450977,-18.119257988939435,3885,0.04679233647983605
gru_h32_l2,168,12,2024,18849,72.18828689492432,46.98797327064698,0.41803510423047185,62.65646147737803,-11.130477022835024,3885,0.07450401296989317
gru_h32_l2,168,12,7,18849,74.88978376393024,48.08427643553822,0.373662419086385,62.238032834207246,-15.837556892051825,3885,0.03986924576896689
gru_h32_l2,168,12,31415,18849,79.92665556304173,50.27817018532944,0.2865778335424729,63.46294434284368,-21.261733406459243,3885,-0.0247063916062229
gru_h32_l2,168,24,42,18849,94.24941024600912,62.53126193975071,0.023663630203089037,79.99975717662957,-30.304332439751107,3813,0.031270443195257513
gru_h32_l2,168,24,1337,18849,92.98887411892018,61.21307308435714,0.049604954037467675,81.034506271743,-26.327487060782243,3813,0.04422668982368605
gru_h32_l2,168,24,2024,18849,91.67611794073606,60.97717559042529,0.07624965359324043,77.70804462630564,-25.163884706099523,3813,0.05771967304093473
gru_h32_l2,168,24,7,18849,90.81016706430431,60.34386379073793,0.09361828789359294,77.36286223423889,-23.692369558173255,3813,0.06662022962320724
gru_h32_l2,168,24,31415,18849,95.28123406210207,62.62903371313742,0.002169138880257715,80.32959265582188,-32.26371109790727,3813,0.020664984493126037
gru_h64_l1,24,1,42,31169,28.384033659189583,13.66595359947015,0.9088471717612894,21.66931403140559,-7.138114785415518,3951,-0.3338870588758196
gru_h64_l1,24,1,1337,31169,24.490255635764463,12.247935400091716,0.9321408275952103,20.424596049482872,-4.490601698683193,3951,-0.15090178701681878
gru_h64_l1,24,1,2024,31169,26.113886766501118,12.548597836563204,0.9228448437398011,20.74421178344566,-2.3652775923324616,3951,-0.2272031534709964
gru_h64_l1,24,1,7,31169,29.479293584398718,13.701581331706722,0.9016767859822091,21.523600345184168,-5.914513190604423,3951,-0.3853580040516744
gru_h64_l1,24,1,31415,31169,26.235108793552705,12.59419880644598,0.9221268646156089,20.372319910450294,-2.677838856124548,3951,-0.23289989464162475
gru_h64_l1,24,3,42,31169,45.146949175544115,24.72461140368027,0.769825153634699,34.42181110999228,-9.274754292686735,3939,-0.0647408774528635
gru_h64_l1,24,3,1337,31169,44.497746310198856,24.85760990127983,0.7763972824967842,34.62542867193657,-9.655679574879255,3939,-0.04943014569544357
gru_h64_l1,24,3,2024,31169,42.829917803258695,23.637302560044095,0.7928449486438968,34.0497574588538,-4.837370583314004,3939,-0.010096254472461208
gru_h64_l1,24,3,7,31169,45.57357061230699,25.135488757891444,0.7654544712287922,34.64329250633731,-10.103520469140378,3939,-0.07480227232481562
gru_h64_l1,24,3,31415,31169,42.916121899778545,23.60477654665329,0.7920102244120834,33.544139311110534,-5.7604173754967745,3939,-0.012129282773259531
gru_h64_l1,24,6,42,31169,57.84844182577859,34.12610156982808,0.6233954182985244,46.04044762989559,-9.317267804116346,3921,0.040241359623338746
gru_h64_l1,24,6,1337,31169,58.82802165160598,35.06600925970187,0.6105329191937372,47.29134521388861,-11.269941894643832,3921,0.023989232995486498
gru_h64_l1,24,6,2024,31169,58.91228023589393,34.80307632570934,0.6094164632990198,47.19029223833306,-13.446690678836578,3921,0.02259130589937186
gru_h64_l1,24,6,7,31169,61.29815645557481,36.03905747088526,0.5771395235483219,48.1551660790359,-14.681599544072608,3921,-0.016992566101956763
