model,tier,horizon_h,rmse,mae,r2,smape,bias,n,skill_vs_persistence,rmse_ci_lower,rmse_ci_upper
climatology,tier1,6,76.76511078993411,58.56595546008372,-0.13439747364194932,94.08696718112586,9.488094766465881,3532,-0.6363685492596314,65.55261203653379,89.40156099793852
sarimax,tier1,6,44.207493224561134,26.714310593213504,0.6243462745244304,54.32366996317251,0.26273699326869,3526,0.05764805378531812,38.30153876788845,50.14220828776302
ridge,tier2,6,44.37725817041867,25.955851009115257,0.6208959530037843,47.04310233463693,-9.300415613888324,3532,0.05402924811553633,37.29805233753846,51.51274561724745
random_forest,tier2,6,43.79874094222895,25.393124642703718,0.630715787643803,46.05373107126395,-8.798852050315842,3532,0.06636124878189431,36.707799387521135,50.48165237810337
xgboost,tier2,6,42.84808077742767,24.603220534685292,0.6465725830168142,45.15486823899727,-8.211193231095752,3532,0.08662605891122177,36.18892592204957,49.34421766367501
lightgbm,tier2,6,44.17591612676884,24.971842810400428,0.624328180724625,45.4970818583857,-8.85213280182629,3532,0.058321169073923707,36.38334887182775,51.65966624370419
persistence,tier1,12,63.87897569752764,37.84557979334099,0.21412601353379568,66.56084393681446,1.8455797933409874,3484,0.0,54.570487859288725,74.3259061217389
seasonal_naive,tier1,12,81.15586837251733,53.80941446613088,-0.2684603144135205,89.35043077146939,3.319173363949483,3484,-0.2704628946587566,69.98635177074173,94.4825499558397
climatology,tier1,12,76.86037760307173,58.50548539057751,-0.1377374498331676,94.37993411249049,9.536488084021165,3484,-0.203218692281669,65.9930732794121,91.06110813077449
sarimax,tier1,12,57.0071243807678,38.632075110845314,0.376178857174577,71.88812766997236,0.750269774697673,3472,0.10757610374497306,49.657125264748615,65.85534632703191
ridge,tier2,12,58.47362882218513,36.03230094287666,0.3414979682268928,63.453118608012524,-17.437218368832568,3484,0.08461855902225623,48.74903748678979,69.96319061658343
random_forest,tier2,12,58.884686360274785,35.8300459347928,0.3322071597187216,62.7398975502935,-15.830192310868727,3484,0.07818361648285099,48.72957569252264,71.60642204419602
xgboost,tier2,12,58.84281978307907,34.88929171804663,0.3331564136993008,61.72619083796064,-16.566801818042524,3484,0.07883902112480945,47.53176308494031,72.43212050974348
lightgbm,tier2,12,59.231968605352584,34.71193337482548,0.3243070932403471,61.51136629014241,-16.119780162757834,3484,0.07274705083217103,47.83847313159454,72.57567957667416
persistence,tier1,24,79.9300313859276,52.65761511216056,-0.24309774729281397,89.23730609788865,3.8187721369539553,3388,0.0,68.44827681463802,93.11603881261767
seasonal_naive,tier1,24,79.9300313859276,52.65761511216056,-0.24309774729281397,89.23730609788865,3.8187721369539553,3388,0.0,68.44827681463802,93.11603881261767
climatology,tier1,24,76.76835782679468,58.26772243976087,-0.1467000029298522,95.00478346831785,10.37280262962523,3388,0.039555515046245326,65.40772428155621,90.72397895389162
sarimax,tier1,24,66.17395120365322,48.39337837452404,0.15276610402157864,86.38220520852732,1.4768639847160145,3365,0.17210152359199837,56.39904742148593,77.30151156846671
ridge,tier2,24,69.54702505054847,43.05944042312654,0.058885581719899105,79.83867670890558,-24.317602107077235,3388,0.12990119177167192,56.1769960876631,85.07311300765602
random_forest,tier2,24,70.19421026775544,43.427269178947576,0.04128858799144586,80.02203178416153,-21.705672026592715,3388,0.12180429494847222,55.730032164687636,87.7979317480925
xgboost,tier2,24,71.98308789578134,44.12529312586145,-0.008198990333347922,81.05706709016266,-23.806958926645585,3388,0.09942375040209728,57.42973469538978,89.10604612405301
lightgbm,tier2,24,72.46052536389465,44.12230216496295,-0.021617372431747217,81.15944252177835,-23.694313166288886,3388,0.09345055785062573,57.48888843575105,90.17210742289403
